"Time","Area","Mean_Radius","Intensity_KTR_Cyan","Intensity_KTR_Green","Math_RatioCyan","Math_RatioGreen","Object_Label","Time_in_min"
2,134,1.2692,0.0159,0.0254,0.5024,0.8724,522,4.5
2,181,1.4537,0.018,0.0319,0.4709,0.8626,526,4.5
2,145,1.3655,0.0164,0.0263,0.5007,1.0148,530,4.5
2,130,1.4195,0.0198,0.0264,0.5213,0.752,529,4.5
2,134,1.3579,0.019,0.0378,0.4956,1.1318,534,4.5
2,140,1.4342,0.018,0.0256,0.4875,1.0119,538,4.5
2,122,1.3843,0.0216,0.0273,0.5182,0.8251,544,4.5
2,181,1.4406,0.0191,0.0365,0.4531,0.9513,549,4.5
2,133,1.4561,0.022,0.0269,0.7387,1.1757,554,4.5
2,109,1.2859,0.0142,0.0276,0.485,0.7744,553,4.5
2,125,1.2649,0.0138,0.0255,0.39,0.7017,557,4.5
2,211,1.4503,0.0205,0.0295,0.4917,0.7227,559,4.5
2,158,1.4917,0.018,0.0292,0.5925,1.0733,564,4.5
2,129,1.3891,0.0158,0.0315,0.5246,1.1377,568,4.5
2,135,1.3836,0.0221,0.03,0.5497,1.0121,569,4.5
2,149,1.3945,0.0195,0.035,0.4594,0.8206,570,4.5
2,145,1.3165,0.0229,0.0299,0.4888,0.6192,571,4.5
2,119,1.3061,0.0184,0.026,0.4399,0.8681,573,4.5
2,125,1.5088,0.0206,0.0329,0.5281,0.8379,572,4.5
2,116,1.282,0.022,0.0327,0.5367,0.7478,577,4.5
2,210,1.4976,0.0302,0.0285,0.8433,0.8864,578,4.5
2,164,1.3765,0.0183,0.0276,0.4032,0.7057,582,4.5
2,138,1.3881,0.013,0.0272,0.3911,0.8696,593,4.5
2,119,1.3099,0.0131,0.0261,0.4523,0.7362,601,4.5
2,209,1.3553,0.0218,0.0357,0.4596,0.7606,598,4.5
2,180,1.4856,0.0177,0.0295,0.4071,1.0418,599,4.5
2,146,1.4683,0.013,0.0293,0.4565,1.2841,607,4.5
2,185,1.3455,0.0292,0.0315,0.8068,0.7061,612,4.5
2,211,1.4282,0.0204,0.0261,0.4395,0.5406,614,4.5
2,129,1.4355,0.0263,0.0275,0.5996,0.6754,616,4.5
2,156,1.2916,0.0181,0.0254,0.4968,0.7455,622,4.5
2,286,1.499,0.0367,0.0404,0.6528,0.6954,623,4.5
2,120,1.3989,0.0155,0.0304,0.4231,0.7753,631,4.5
2,120,1.3616,0.0172,0.0256,0.383,0.5608,635,4.5
2,197,1.3711,0.0263,0.0461,0.5145,0.7468,643,4.5
2,147,1.3107,0.0165,0.0314,0.4579,0.8128,647,4.5
2,160,1.3557,0.021,0.04,0.4745,0.7813,665,4.5
2,113,1.3055,0.0244,0.0291,0.6471,0.8845,670,4.5
2,180,1.4307,0.0271,0.0316,0.7591,1.0753,690,4.5
2,133,1.2198,0.0142,0.0264,0.3504,0.4758,698,4.5
2,101,1.3971,0.0187,0.035,0.5087,0.9513,697,4.5
2,126,1.4325,0.0292,0.0315,0.8036,1.055,701,4.5
2,191,1.3337,0.0195,0.0284,0.426,0.7386,705,4.5
2,103,1.3787,0.0313,0.0347,0.6214,0.876,706,4.5
2,208,1.418,0.0185,0.0332,0.4608,0.9137,707,4.5
2,167,1.3525,0.0151,0.0308,0.3986,0.7191,713,4.5
2,115,1.3151,0.0309,0.0288,0.7001,0.9074,721,4.5
2,151,1.4696,0.0234,0.0311,0.5666,0.7431,722,4.5
2,150,1.2777,0.0187,0.023,0.3901,0.445,723,4.5
2,114,1.3303,0.0263,0.0257,0.6426,0.6429,728,4.5
2,125,1.4589,0.0325,0.0301,0.7717,1.0817,734,4.5
2,102,1.2086,0.0189,0.0255,0.4352,0.524,739,4.5
2,231,1.4123,0.024,0.0318,0.5802,0.8691,749,4.5
2,118,1.3349,0.0212,0.031,0.4854,0.7602,751,4.5
2,143,1.309,0.0342,0.0274,0.6941,0.5492,764,4.5
2,113,1.4503,0.0249,0.0302,0.5102,0.854,762,4.5
3,128,1.4262,0.0281,0.0322,0.5553,0.5949,4,9
3,117,1.4,0.013,0.0241,0.4567,0.796,15,9
3,101,1.2579,0.021,0.0348,0.5133,0.8068,19,9
3,122,1.4498,0.0167,0.0297,0.5119,0.8241,26,9
3,129,1.3454,0.0136,0.0335,0.521,0.9025,28,9
3,113,1.3629,0.0155,0.0294,0.4149,0.8205,38,9
3,120,1.3427,0.0142,0.0247,0.4563,0.782,43,9
3,240,1.3902,0.0192,0.0359,0.5107,0.8185,52,9
3,111,1.2791,0.0181,0.0325,0.4259,0.6095,58,9
3,144,1.4753,0.0196,0.0312,0.5396,0.9687,71,9
3,168,1.4719,0.0214,0.0294,0.6355,0.7983,73,9
3,149,1.3448,0.0224,0.0302,0.5596,0.7347,70,9
3,226,1.4567,0.0202,0.031,0.4878,0.7768,77,9
3,138,1.345,0.0286,0.0371,0.6388,0.8662,83,9
3,158,1.2816,0.019,0.0245,0.4584,0.5504,87,9
3,128,1.456,0.0183,0.0319,0.5635,0.9896,93,9
3,192,1.3967,0.0203,0.031,0.5149,0.9164,97,9
3,170,1.5147,0.0161,0.0298,0.5695,0.9988,102,9
3,113,1.3004,0.0183,0.027,0.3878,0.7589,104,9
3,110,1.2797,0.019,0.028,0.4998,0.6629,106,9
3,124,1.3292,0.0207,0.0261,0.4705,0.565,114,9
3,128,1.342,0.02,0.0311,0.5579,0.9674,115,9
3,115,1.3503,0.0136,0.0261,0.6504,0.9973,119,9
3,228,1.4643,0.0237,0.0297,0.8009,0.7568,124,9
3,161,1.5313,0.0173,0.0326,0.5756,1.0306,126,9
3,115,1.4021,0.017,0.0275,0.4995,0.8785,125,9
3,138,1.3219,0.0194,0.0357,0.5421,0.7898,130,9
3,148,1.3156,0.0206,0.0283,0.5452,0.8456,133,9
3,152,1.3195,0.0132,0.0263,0.4388,0.8575,137,9
3,131,1.3656,0.0185,0.0333,0.4779,0.9379,135,9
3,169,1.3574,0.0182,0.0316,0.3926,0.5697,138,9
3,120,1.3354,0.015,0.0324,0.4856,0.9303,140,9
3,142,1.406,0.0206,0.0318,0.5328,1.0054,146,9
